,index,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real,symbol,year,quarter,Text
3,min,0.674863387978142,0.1623931623931624,0.06158357771260997,0.008310249307479225,0.0,123.0,0.0,20.0,0.0,0.0,0.9900826811790466,0.0005626031779684126,0.00017186495824716985,0.9994981288909912,AAPL,2014,3,
4,25%,0.681268063583815,0.1835108661507268,0.06929008057793831,0.01619111399734827,0.0,268.0,0.0,22.25,0.0,0.0,0.99741992354393,0.0010041865025414154,0.00018526554777054116,0.9996928721666336,AAPL,2014,3,
5,50%,0.7090425371103788,0.19263610683102209,0.0765192812436907,0.021479243300052547,1.0,322.5,1.0,25.0,0.0,0.0,0.9979146420955658,0.0020853900350630283,0.0002239845780422911,0.9997760057449341,AAPL,2014,3,
6,75%,0.7249746487034623,0.21392044984017092,0.08649528845301746,0.027633432081977563,1.0,594.75,1.0,27.25,0.0,0.0,0.9989958256483078,0.0025800581788644195,0.00030711105500813574,0.9998147189617157,AAPL,2014,3,
7,max,0.7423822714681441,0.2185792349726776,0.09659090909090909,0.03278688524590164,1.0,1615.0,1.0,33.0,0.0,0.0,0.9994373917579651,0.009917372837662697,0.0005018782103434205,0.9998281002044678,AAPL,2014,3,
0,count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,AAPL,2014,4,
1,mean,0.7062612585141157,0.19438156999018974,0.07850273220109918,0.02085443929459542,0.5454545454545454,226.9090909090909,0.6363636363636364,23.90909090909091,0.0,0.0,0.9975978136062622,0.0024021884706929664,0.0004996068667175925,0.9995004047047008,AAPL,2014,4,
2,std,0.039681055234122346,0.02481870538396984,0.01684549414353317,0.01025726482538622,0.5222329678670935,142.68738875279382,0.504524979109513,5.575922263707511,0.0,0.0,0.0024160337112393362,0.002416046021717816,0.0008019669238786151,0.0008019589288770676,AAPL,2014,4,
3,min,0.6498599439775911,0.16338028169014085,0.04776119402985075,0.0027247956403269754,0.0,73.0,0.0,16.0,0.0,0.0,0.9911460280418396,0.00048224421334452927,0.00018150544201489538,0.9970916509628296,AAPL,2014,4,
4,25%,0.6714818832367322,0.17585360866898386,0.06730462635515103,0.013895883167568929,0.0,110.5,0.0,19.5,0.0,0.0,0.9970314800739288,0.0006990336114540696,0.0002148234925698489,0.9996716380119324,AAPL,2014,4,
5,50%,0.7155172413793104,0.1880108991825613,0.0784313725490196,0.022535211267605635,1.0,182.0,1.0,23.0,0.0,0.0,0.9981895089149475,0.0018105143681168556,0.0002420402888674289,0.9997579455375671,AAPL,2014,4,
6,75%,0.7362636964461708,0.20877598349334106,0.08660962271637311,0.028050546061121076,1.0,335.0,1.0,29.0,0.0,0.0,0.9993009567260742,0.0029685157351195812,0.0003283586702309549,0.9997851848602295,AAPL,2014,4,
7,max,0.764179104477612,0.24369747899159663,0.10674157303370786,0.0345821325648415,1.0,484.0,1.0,32.0,0.0,0.0,0.9995177984237671,0.00885399803519249,0.0029083830304443836,0.9998185038566589,AAPL,2014,4,
0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2015,1,
1,mean,0.6936864080553542,0.19397181500098684,0.08481101520406689,0.027530761739591965,0.4,4232.7,0.4,27.4,0.0,0.0,0.9968395948410034,0.003160393104190007,0.00020553198119159787,0.9997944951057434,AAPL,2015,1,
2,std,0.022248746579415873,0.01325174977949255,0.011777279284852102,0.015807507047705466,0.5163977794943223,9477.952428311366,0.5163977794943223,5.460972644339305,0.0,0.0,0.003205749560109672,0.0032057732715005615,2.2920697228269712e-05,2.29318244668413e-05,AAPL,2015,1,
3,min,0.6648351648351648,0.17696629213483145,0.06552706552706553,0.007832898172323759,0.0,152.0,0.0,21.0,0.0,0.0,0.9885037541389465,0.0006930364179424942,0.00017704656056594104,0.9997592568397522,AAPL,2015,1,
4,25%,0.6741719353432166,0.1835238054473598,0.07512181303116147,0.018227316141356257,0.0,234.25,0.0,23.0,0.0,0.0,0.9971350133419037,0.0013643210113514215,0.00018720639855018817,0.9997812807559967,AAPL,2015,1,
5,50%,0.6911871700800323,0.19153276353276352,0.08543066672373696,0.02346421592574499,0.0,432.5,0.0,28.0,0.0,0.0,0.9976684749126434,0.0023315068101510406,0.00020335035515017807,0.9997966885566711,AAPL,2015,1,
6,75%,0.711561797752809,0.20626443845515935,0.0958925585284281,0.0330132819393489,1.0,1422.25,1.0,29.5,0.0,0.0,0.9986356645822525,0.0028649481828324497,0.0002187261161452625,0.9998128116130829,AAPL,2015,1,
7,max,0.7264957264957265,0.21203438395415472,0.09831460674157304,0.06043956043956044,1.0,30337.0,1.0,39.0,0.0,0.0,0.9993069171905518,0.01149628683924675,0.00024076450790744275,0.9998230338096619,AAPL,2015,1,
0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2015,2,
1,mean,0.7349203979522879,0.17796085820724616,0.06661206500048387,0.020506678839981925,1.0,447.9,0.4,19.7,0.0,0.0,0.9779243230819702,0.02207566552096978,0.03554562450008234,0.9644543707370759,AAPL,2015,2,
2,std,0.021627137549906077,0.016009465547171843,0.01736454950313565,0.0104898388209927,0.0,307.0010676782013,0.5163977794943223,3.267686915507326,0.0,0.0,0.05245862389088921,0.052458631638899654,0.09642277747496464,0.09642278760500507,AAPL,2015,2,
3,min,0.7047353760445683,0.15544041450777202,0.04904632152588556,0.007853403141361256,1.0,111.0,0.0,15.0,0.0,0.0,0.8291445374488831,0.000864634639583528,0.00017105715232901275,0.690804660320282,AAPL,2015,2,
4,25%,0.7187301464048228,0.16796875,0.052241161616161616,0.011910261148066027,1.0,244.25,0.0,17.25,0.0,0.0,0.9895949810743332,0.0022196529316715896,0.00020381601643748581,0.9874370843172073,AAPL,2015,2,
5,50%,0.7264144089162071,0.17368123259052926,0.05981114498644986,0.018536360589812333,1.0,374.5,0.0,19.5,0.0,0.0,0.995464563369751,0.004535421845503151,0.00033067865297198296,0.9996693134307861,AAPL,2015,2,
6,75%,0.75546875,0.19259351003220215,0.08099870203736383,0.030078716318498334,1.0,566.0,1.0,22.0,0.0,0.0,0.997780367732048,0.010405009146779776,0.012562941061332822,0.9997962415218353,AAPL,2015,2,
7,max,0.7682291666666666,0.20157068062827224,0.09326424870466321,0.036211699164345405,1.0,1078.0,1.0,25.0,0.0,0.0,0.999135434627533,0.17085547745227814,0.30919530987739563,0.9998289346694946,AAPL,2015,2,
0,count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,AAPL,2015,3,
