,index,Text,id,model,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real
0,count,,291,291,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,291,291,0.7233896022405534,0.172866194273121,0.0760854593593609,0.027658744126964695,1.0,471.5,0.5,25.0,0.0,0.0,0.9407666623592377,0.059233334817690775,0.0003857768460875377,0.9996142387390137
2,std,,291,291,0.0151072231299861,0.02509032723988019,0.013841073340438536,0.003857969230544437,0.0,369.81684656056433,0.7071067811865476,1.4142135623730951,0.0,0.0,0.08300733305838706,0.08300732651410102,0.00019337428904099007,0.00019328544727096003
3,min,,291,291,0.712707182320442,0.15512465373961218,0.06629834254143646,0.024930747922437674,1.0,210.0,0.0,24.0,0.0,0.0,0.8820716142654419,0.000538291351404041,0.00024904057499952614,0.9994775652885437
4,25%,,291,291,0.7180483922804977,0.1639954240063666,0.07119190095039868,0.026294746024701183,1.0,340.75,0.25,24.5,0.0,0.0,0.9114191383123398,0.029885813084547408,0.0003174087105435319,0.9995459020137787
5,50%,,291,291,0.7233896022405534,0.172866194273121,0.0760854593593609,0.027658744126964695,1.0,471.5,0.5,25.0,0.0,0.0,0.9407666623592377,0.059233334817690775,0.0003857768460875377,0.9996142387390137
6,75%,,291,291,0.7287308122006091,0.18173696453987542,0.0809790177683231,0.029022742229228203,1.0,602.25,0.75,25.5,0.0,0.0,0.9701141864061356,0.08858085655083414,0.0004541449816315435,0.9996825754642487
7,max,,291,291,0.7340720221606648,0.19060773480662985,0.08587257617728532,0.03038674033149171,1.0,733.0,1.0,26.0,0.0,0.0,0.9994617104530334,0.11792837828397751,0.0005225131171755493,0.9997509121894836
0,count,,292,292,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,292,292,0.6676283560998586,0.2096548385408489,0.0971371748573821,0.025579630501910294,0.0,330.5,0.5,33.5,0.0,0.0,0.9980976581573486,0.00190237196511589,0.019161765172611922,0.980838268995285
2,std,,292,292,0.012073773348098131,0.0070592253368573716,0.00547714469124452,0.00046259668000375926,0.0,136.47160876900367,0.7071067811865476,3.5355339059327378,0.0,0.0,0.001834399434588152,0.0018344161039960101,0.02681986165318127,0.026819852021967842
3,min,,292,292,0.6590909090909091,0.20466321243523317,0.09326424870466321,0.025252525252525252,0.0,234.0,0.0,31.0,0.0,0.0,0.9968005418777466,0.0006052438984625041,0.0001972591271623969,0.9618737697601318
4,25%,,292,292,0.6633596325953839,0.20715902548804105,0.09520071178102266,0.025416077877217773,0.0,282.25,0.25,32.25,0.0,0.0,0.9974491000175476,0.001253807931789197,0.00967951214988716,0.9713560193777084
5,50%,,292,292,0.6676283560998586,0.2096548385408489,0.0971371748573821,0.025579630501910294,0.0,330.5,0.5,33.5,0.0,0.0,0.9980976581573486,0.00190237196511589,0.019161765172611922,0.980838268995285
6,75%,,292,292,0.6718970796043334,0.21215065159365676,0.09907363793374156,0.025743183126602814,0.0,378.75,0.75,34.75,0.0,0.0,0.9987462162971497,0.002550935998442583,0.028644018195336685,0.9903205186128616
7,max,,292,292,0.6761658031088082,0.21464646464646464,0.10101010101010101,0.025906735751295335,0.0,427.0,1.0,36.0,0.0,0.0,0.9993947744369507,0.0031995000317692757,0.03812627121806145,0.9998027682304382
0,count,,293,293,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,293,293,0.6060804345378814,0.2228413824158505,0.10478582686029494,0.0662923561859732,0.0,302.0,0.0,53.0,0.0,0.0,0.9963327646255493,0.0036672326968982816,0.0002338053600396961,0.9997661709785461
2,std,,293,293,0.010855756758337828,0.01584084762536565,0.0060199201088858185,0.01100501097591356,0.0,8.48528137423857,0.0,4.242640687119285,0.0,0.0,0.0013560327039895046,0.0013560839058250002,1.6849108190928365e-05,1.6858739404357613e-05
3,min,,293,293,0.598404255319149,0.21164021164021163,0.10052910052910052,0.05851063829787234,0.0,296.0,0.0,50.0,0.0,0.0,0.9953739047050476,0.0027083365712314844,0.00022189124138094485,0.9997542500495911
4,25%,,293,293,0.6022423449285151,0.21724079702803106,0.10265746369469773,0.062401497241922774,0.0,299.0,0.0,51.5,0.0,0.0,0.9958533346652985,0.003187784634064883,0.00022784830071032047,0.9997602105140686
5,50%,,293,293,0.6060804345378814,0.2228413824158505,0.10478582686029494,0.0662923561859732,0.0,302.0,0.0,53.0,0.0,0.0,0.9963327646255493,0.0036672326968982816,0.0002338053600396961,0.9997661709785461
6,75%,,293,293,0.6099185241472476,0.22844196780366993,0.10691419002589216,0.07018321513002364,0.0,305.0,0.0,54.5,0.0,0.0,0.9968121945858002,0.00414668075973168,0.00023976241936907172,0.9997721314430237
7,max,,293,293,0.6137566137566137,0.23404255319148937,0.10904255319148937,0.07407407407407407,0.0,308.0,0.0,56.0,0.0,0.0,0.997291624546051,0.004626128822565079,0.00024571947869844735,0.9997780919075012
0,count,,294,294,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,294,294,0.6280471495661368,0.1822349391969645,0.12129194787422634,0.06842596336267222,0.0,1608.0,0.0,51.0,0.0,0.0,0.9963244199752808,0.003675570013001561,0.00017289529932895675,0.999827116727829
2,std,,294,294,0.03608437180265874,0.017963014924678024,0.03254366979130573,0.014422312913324973,0.0,2001.1121907579295,0.0,1.4142135623730951,0.0,0.0,0.0013504693199860665,0.001350382062838759,3.982311247592938e-06,3.919656911513145e-06
3,min,,294,294,0.6025316455696202,0.16953316953316952,0.09828009828009827,0.05822784810126582,0.0,193.0,0.0,50.0,0.0,0.0,0.9953694939613342,0.0027207056991755962,0.00017007938004098833,0.9998243451118469
4,25%,,294,294,0.6152893975678786,0.17588405436506702,0.10978602307716231,0.06332690573196902,0.0,900.5,0.0,50.5,0.0,0.0,0.9958469569683075,0.0031981378560885787,0.00017148733968497254,0.999825730919838
5,50%,,294,294,0.6280471495661368,0.1822349391969645,0.12129194787422634,0.06842596336267222,0.0,1608.0,0.0,51.0,0.0,0.0,0.9963244199752808,0.003675570013001561,0.00017289529932895675,0.999827116727829
6,75%,,294,294,0.6408049015643952,0.188585824028862,0.1327978726712904,0.07352502099337542,0.0,2315.5,0.0,51.5,0.0,0.0,0.996801882982254,0.004153002169914544,0.00017430325897294097,0.99982850253582
7,max,,294,294,0.6535626535626535,0.1949367088607595,0.14430379746835442,0.07862407862407862,0.0,3023.0,0.0,52.0,0.0,0.0,0.9972793459892273,0.004630434326827526,0.00017571121861692518,0.999829888343811
0,count,,295,295,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,295,295,0.6340362876413033,0.21333421019941395,0.10406573572717773,0.04856376643210499,0.0,295.0,0.0,44.5,0.0,0.0,0.9198227226734161,0.08017730340361595,0.00017244649643544108,0.9998275935649872
2,std,,295,295,0.018874988649512647,0.013403153724838725,0.0008732201154578845,0.006345055040131825,0.0,65.05382386916237,0.0,7.7781745930520225,0.0,0.0,0.09022144053060276,0.09022144579895881,3.775641459423674e-06,3.7510695174695686e-06
3,min,,295,295,0.6206896551724138,0.20385674931129477,0.10344827586206896,0.0440771349862259,0.0,249.0,0.0,39.0,0.0,0.0,0.8560265302658081,0.01638110727071762,0.00016977671475615352,0.9998249411582947
4,25%,,295,295,0.6273629714068586,0.20859547975535436,0.10375700579462335,0.04632045070916545,0.0,272.0,0.0,41.75,0.0,0.0,0.8879246264696121,0.048279205337166786,0.0001711116055957973,0.9998262673616409
5,50%,,295,295,0.6340362876413033,0.21333421019941395,0.10406573572717773,0.04856376643210499,0.0,295.0,0.0,44.5,0.0,0.0,0.9198227226734161,0.08017730340361595,0.00017244649643544108,0.9998275935649872
6,75%,,295,295,0.640709603875748,0.21807294064347357,0.10437446565973212,0.050807082155044536,0.0,318.0,0.0,47.25,0.0,0.0,0.9517208188772202,0.11207540147006512,0.00017378138727508485,0.9998289197683334
7,max,,295,295,0.6473829201101928,0.22281167108753316,0.1046831955922865,0.05305039787798409,0.0,341.0,0.0,50.0,0.0,0.0,0.9836189150810242,0.14397349953651428,0.00017511627811472863,0.9998302459716797
0,count,,296,296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,296,296,0.743455497382199,0.19109947643979058,0.05759162303664921,0.007853403141361256,1.0,356.0,0.0,20.0,0.0,0.0,0.9992897510528564,0.0007101686205714941,0.00018926482880488038,0.9998107552528381
2,std,,296,296,,,,,,,,,,,,,,
3,min,,296,296,0.743455497382199,0.19109947643979058,0.05759162303664921,0.007853403141361256,1.0,356.0,0.0,20.0,0.0,0.0,0.9992897510528564,0.0007101686205714941,0.00018926482880488038,0.9998107552528381
4,25%,,296,296,0.743455497382199,0.19109947643979058,0.05759162303664921,0.007853403141361256,1.0,356.0,0.0,20.0,0.0,0.0,0.9992897510528564,0.0007101686205714941,0.00018926482880488038,0.9998107552528381
5,50%,,296,296,0.743455497382199,0.19109947643979058,0.05759162303664921,0.007853403141361256,1.0,356.0,0.0,20.0,0.0,0.0,0.9992897510528564,0.0007101686205714941,0.00018926482880488038,0.9998107552528381
6,75%,,296,296,0.743455497382199,0.19109947643979058,0.05759162303664921,0.007853403141361256,1.0,356.0,0.0,20.0,0.0,0.0,0.9992897510528564,0.0007101686205714941,0.00018926482880488038,0.9998107552528381
7,max,,296,296,0.743455497382199,0.19109947643979058,0.05759162303664921,0.007853403141361256,1.0,356.0,0.0,20.0,0.0,0.0,0.9992897510528564,0.0007101686205714941,0.00018926482880488038,0.9998107552528381
0,count,,297,297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,297,297,0.6860158311345647,0.18997361477572558,0.08179419525065963,0.04221635883905013,0.0,901.0,0.0,30.0,0.0,0.0,0.9995236396789551,0.00047638986143283546,0.0003567699168343097,0.9996432065963745
2,std,,297,297,,,,,,,,,,,,,,
3,min,,297,297,0.6860158311345647,0.18997361477572558,0.08179419525065963,0.04221635883905013,0.0,901.0,0.0,30.0,0.0,0.0,0.9995236396789551,0.00047638986143283546,0.0003567699168343097,0.9996432065963745
4,25%,,297,297,0.6860158311345647,0.18997361477572558,0.08179419525065963,0.04221635883905013,0.0,901.0,0.0,30.0,0.0,0.0,0.9995236396789551,0.00047638986143283546,0.0003567699168343097,0.9996432065963745
5,50%,,297,297,0.6860158311345647,0.18997361477572558,0.08179419525065963,0.04221635883905013,0.0,901.0,0.0,30.0,0.0,0.0,0.9995236396789551,0.00047638986143283546,0.0003567699168343097,0.9996432065963745
6,75%,,297,297,0.6860158311345647,0.18997361477572558,0.08179419525065963,0.04221635883905013,0.0,901.0,0.0,30.0,0.0,0.0,0.9995236396789551,0.00047638986143283546,0.0003567699168343097,0.9996432065963745
7,max,,297,297,0.6860158311345647,0.18997361477572558,0.08179419525065963,0.04221635883905013,0.0,901.0,0.0,30.0,0.0,0.0,0.9995236396789551,0.00047638986143283546,0.0003567699168343097,0.9996432065963745
0,count,,298,298,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,298,298,0.67885468002049,0.2260876477134227,0.08019801105753095,0.014859661208556339,0.5,102.5,1.0,29.5,0.0,0.0,0.9857513904571533,0.01424865541048348,0.0003410267599974759,0.9996590316295624
2,std,,298,298,0.036995924714721885,0.044402603768006914,0.007562806352047317,0.00015612729876233116,0.7071067811865476,47.37615433949868,0.0,6.363961030678928,0.0,0.0,0.017845059953209556,0.01784505303849222,0.00021842825470566482,0.00021844711583196376
3,min,,298,298,0.6526946107784432,0.19469026548672566,0.0748502994011976,0.014749262536873156,0.0,69.0,1.0,25.0,0.0,0.0,0.9731330275535583,0.0016302973963320255,0.00018657465989235789,0.999504566192627
4,25%,,298,298,0.6657746453994666,0.21038895660007417,0.07752415522936427,0.014804461872714747,0.25,85.75,1.0,27.25,0.0,0.0,0.9794422090053558,0.007939476403407753,0.0002638007099449169,0.9995817989110947
5,50%,,298,298,0.67885468002049,0.2260876477134227,0.08019801105753095,0.014859661208556339,0.5,102.5,1.0,29.5,0.0,0.0,0.9857513904571533,0.01424865541048348,0.0003410267599974759,0.9996590316295624
6,75%,,298,298,0.6919347146415133,0.24178633882677122,0.08287186688569763,0.01491486054439793,0.75,119.25,1.0,31.75,0.0,0.0,0.9920605719089508,0.020557834417559206,0.0004182528100500349,0.9997362643480301
7,max,,298,298,0.7050147492625368,0.25748502994011974,0.0855457227138643,0.014970059880239521,1.0,136.0,1.0,34.0,0.0,0.0,0.9983697533607483,0.026867013424634933,0.0004954788601025939,0.9998134970664978
0,count,,299,299,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,299,299,0.6987237237237238,0.19992492492492492,0.07541291291291291,0.02593843843843844,0.5,1000.5,0.0,25.5,0.0,0.0,0.9995241463184357,0.00047580063983332366,0.0002173145257984288,0.9997826814651489
2,std,,299,299,0.009661669232428808,0.007750569823816518,0.007272794971663441,0.00918389438027573,0.7071067811865476,589.0199487283941,0.0,2.1213203435596424,0.0,0.0,2.903917862400599e-05,2.9058790902634348e-05,3.6874530890226447e-05,3.683634559852138e-05
3,min,,299,299,0.6918918918918919,0.19444444444444445,0.07027027027027027,0.019444444444444445,0.0,584.0,0.0,24.0,0.0,0.0,0.9995036125183105,0.00045525297173298895,0.00019124029495287687,0.9997566342353821
4,25%,,299,299,0.6953078078078079,0.1971846846846847,0.07284159159159159,0.022691441441441442,0.25,792.25,0.0,24.75,0.0,0.0,0.9995138794183731,0.0004655268057831563,0.00020427741037565283,0.9997696578502655
5,50%,,299,299,0.6987237237237238,0.19992492492492492,0.07541291291291291,0.02593843843843844,0.5,1000.5,0.0,25.5,0.0,0.0,0.9995241463184357,0.00047580063983332366,0.0002173145257984288,0.9997826814651489
6,75%,,299,299,0.7021396396396397,0.20266516516516517,0.07798423423423424,0.029185435435435437,0.75,1208.75,0.0,26.25,0.0,0.0,0.9995344132184982,0.000486074473883491,0.00023035164122120477,0.9997957050800323
7,max,,299,299,0.7055555555555556,0.20540540540540542,0.08055555555555556,0.032432432432432434,1.0,1417.0,0.0,27.0,0.0,0.0,0.9995446801185608,0.0004963483079336584,0.00024338875664398074,0.9998087286949158
0,count,,300,300,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,300,300,0.6635095931153856,0.20714790706745656,0.09078719617738121,0.03855530363977669,0.0,193.0,0.5,36.5,0.0,0.0,0.9993349611759186,0.0006649980787187815,0.0001736224803607911,0.9998263716697693
2,std,,300,300,0.04618199046292598,0.03430465137037056,0.01575600570478326,0.0038786666122278247,0.0,62.22539674441618,0.7071067811865476,6.363961030678928,0.0,0.0,0.00013828380996424333,0.0001383077645207212,3.278934264277708e-07,3.371747880871523e-07
3,min,,300,300,0.6308539944903582,0.18289085545722714,0.07964601769911504,0.03581267217630854,0.0,149.0,0.0,32.0,0.0,0.0,0.9992371797561646,0.0005671997205354273,0.00017339062469545752,0.9998261332511902
4,25%,,300,300,0.6471817938028719,0.19501938126234183,0.08521660693824813,0.037183987908042615,0.0,171.0,0.25,34.25,0.0,0.0,0.9992860704660416,0.0006160988996271044,0.0001735065525281243,0.9998262524604797
5,50%,,300,300,0.6635095931153856,0.20714790706745656,0.09078719617738121,0.03855530363977669,0.0,193.0,0.5,36.5,0.0,0.0,0.9993349611759186,0.0006649980787187815,0.0001736224803607911,0.9998263716697693
6,75%,,300,300,0.6798373924278993,0.21927643287257126,0.0963577854165143,0.03992661937151076,0.0,215.0,0.75,38.75,0.0,0.0,0.9993838518857956,0.0007138972578104585,0.00017373840819345787,0.9998264908790588
7,max,,300,300,0.696165191740413,0.23140495867768596,0.10192837465564739,0.04129793510324484,0.0,237.0,1.0,41.0,0.0,0.0,0.9994327425956726,0.0007627964369021356,0.00017385433602612466,0.9998266100883484
0,count,,301,301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,301,301,0.6515513126491647,0.18138424821002386,0.09785202863961814,0.06921241050119331,0.0,707.0,0.0,45.0,0.0,0.0,0.9994476437568665,0.0005523862200789154,0.0002019427774939686,0.9997981190681458
2,std,,301,301,,,,,,,,,,,,,,
3,min,,301,301,0.6515513126491647,0.18138424821002386,0.09785202863961814,0.06921241050119331,0.0,707.0,0.0,45.0,0.0,0.0,0.9994476437568665,0.0005523862200789154,0.0002019427774939686,0.9997981190681458
4,25%,,301,301,0.6515513126491647,0.18138424821002386,0.09785202863961814,0.06921241050119331,0.0,707.0,0.0,45.0,0.0,0.0,0.9994476437568665,0.0005523862200789154,0.0002019427774939686,0.9997981190681458
5,50%,,301,301,0.6515513126491647,0.18138424821002386,0.09785202863961814,0.06921241050119331,0.0,707.0,0.0,45.0,0.0,0.0,0.9994476437568665,0.0005523862200789154,0.0002019427774939686,0.9997981190681458
6,75%,,301,301,0.6515513126491647,0.18138424821002386,0.09785202863961814,0.06921241050119331,0.0,707.0,0.0,45.0,0.0,0.0,0.9994476437568665,0.0005523862200789154,0.0002019427774939686,0.9997981190681458
7,max,,301,301,0.6515513126491647,0.18138424821002386,0.09785202863961814,0.06921241050119331,0.0,707.0,0.0,45.0,0.0,0.0,0.9994476437568665,0.0005523862200789154,0.0002019427774939686,0.9997981190681458
0,count,,302,302,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,302,302,0.6449612403100775,0.2189922480620155,0.10074289405684755,0.03530361757105943,0.0,197.5,0.5,38.5,0.0,0.0,0.9983432292938232,0.0016567586280871183,0.00019084077212028205,0.999809205532074
2,std,,302,302,0.004659230728748562,0.015073981769480651,0.006806131162583691,0.012927081335645539,0.0,55.86143571373726,0.7071067811865476,4.949747468305833,0.0,0.0,0.0015763764280044585,0.0015763434596200276,1.2827623834868392e-05,1.2812641947311786e-05
3,min,,302,302,0.6416666666666667,0.20833333333333334,0.09593023255813954,0.02616279069767442,0.0,158.0,0.0,35.0,0.0,0.0,0.9972285628318787,0.000542115478310734,0.00018177027232013643,0.9998001456260681
4,25%,,302,302,0.6433139534883722,0.2136627906976744,0.09833656330749355,0.030733204134366927,0.0,177.75,0.25,36.75,0.0,0.0,0.997785896062851,0.0010994370531989262,0.00018630552222020924,0.999804675579071
5,50%,,302,302,0.6449612403100775,0.2189922480620155,0.10074289405684755,0.03530361757105943,0.0,197.5,0.5,38.5,0.0,0.0,0.9983432292938232,0.0016567586280871183,0.00019084077212028205,0.999809205532074
6,75%,,302,302,0.646608527131783,0.2243217054263566,0.10314922480620155,0.03987403100775194,0.0,217.25,0.75,40.25,0.0,0.0,0.9989005625247955,0.0022140802029753104,0.00019537602202035487,0.9998137354850769
7,max,,302,302,0.6482558139534884,0.22965116279069767,0.10555555555555556,0.044444444444444446,0.0,237.0,1.0,42.0,0.0,0.0,0.9994578957557678,0.0027714017778635025,0.00019991127192042768,0.9998182654380798
0,count,,303,303,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,303,303,0.68,0.19430555555555556,0.09083333333333332,0.03486111111111111,0.0,264.0,0.5,33.0,0.0,0.0,0.9915548861026764,0.008445123705314472,0.014224644561181776,0.9857752919197083
2,std,,303,303,0.007071067811865481,0.011588694469446202,0.001178511301977577,0.01748125097933409,0.0,200.8183258569795,0.7071067811865476,2.8284271247461903,0.0,0.0,0.010718660072745037,0.010718664641397561,0.019877549843332613,0.01987754957579891
3,min,,303,303,0.675,0.18611111111111112,0.09,0.0225,0.0,122.0,0.0,31.0,0.0,0.0,0.9839756488800049,0.0008658832521177828,0.0001690942735876888,0.9717197418212891
4,25%,,303,303,0.6775,0.19020833333333334,0.09041666666666666,0.028680555555555556,0.0,193.0,0.25,32.0,0.0,0.0,0.9877652674913406,0.004655503478716128,0.0071968694173847325,0.9787475168704987
5,50%,,303,303,0.68,0.19430555555555556,0.09083333333333332,0.03486111111111111,0.0,264.0,0.5,33.0,0.0,0.0,0.9915548861026764,0.008445123705314472,0.014224644561181776,0.9857752919197083
6,75%,,303,303,0.6825000000000001,0.1984027777777778,0.09125,0.041041666666666664,0.0,335.0,0.75,34.0,0.0,0.0,0.9953445047140121,0.012234743931912817,0.02125241970497882,0.9928030669689178
7,max,,303,303,0.685,0.2025,0.09166666666666666,0.04722222222222222,0.0,406.0,1.0,35.0,0.0,0.0,0.9991341233253479,0.016024364158511162,0.028280194848775864,0.9998308420181274
0,count,,304,304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,304,304,0.6747311827956989,0.18548387096774194,0.10215053763440861,0.03763440860215054,0.0,159.0,1.0,33.0,0.0,0.0,0.9965277314186096,0.003472262527793646,0.0008374489843845367,0.9991625547409058
2,std,,304,304,,,,,,,,,,,,,,
3,min,,304,304,0.6747311827956989,0.18548387096774194,0.10215053763440861,0.03763440860215054,0.0,159.0,1.0,33.0,0.0,0.0,0.9965277314186096,0.003472262527793646,0.0008374489843845367,0.9991625547409058
4,25%,,304,304,0.6747311827956989,0.18548387096774194,0.10215053763440861,0.03763440860215054,0.0,159.0,1.0,33.0,0.0,0.0,0.9965277314186096,0.003472262527793646,0.0008374489843845367,0.9991625547409058
5,50%,,304,304,0.6747311827956989,0.18548387096774194,0.10215053763440861,0.03763440860215054,0.0,159.0,1.0,33.0,0.0,0.0,0.9965277314186096,0.003472262527793646,0.0008374489843845367,0.9991625547409058
6,75%,,304,304,0.6747311827956989,0.18548387096774194,0.10215053763440861,0.03763440860215054,0.0,159.0,1.0,33.0,0.0,0.0,0.9965277314186096,0.003472262527793646,0.0008374489843845367,0.9991625547409058
7,max,,304,304,0.6747311827956989,0.18548387096774194,0.10215053763440861,0.03763440860215054,0.0,159.0,1.0,33.0,0.0,0.0,0.9965277314186096,0.003472262527793646,0.0008374489843845367,0.9991625547409058
0,count,,305,305,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,305,305,0.6444768714431636,0.21506274624252153,0.09612213629067562,0.04433824602363928,0.0,1751.0,0.0,39.5,0.0,0.0,0.9986531734466553,0.0013468612887663767,0.00020628756465157494,0.9997937083244324
2,std,,305,305,0.02158569073752018,0.01762865804256845,0.011045641460093378,0.007088608765141665,0.0,1900.7030278294396,0.0,4.949747468305833,0.0,0.0,0.0012482210654986376,0.0012481930156185007,4.632355386543712e-05,4.636153336198344e-05
3,min,,305,305,0.6292134831460674,0.2025974025974026,0.08831168831168831,0.03932584269662921,0.0,407.0,0.0,36.0,0.0,0.0,0.9977705478668213,0.00046425554319284856,0.00017353186558466405,0.9997609257698059
4,25%,,305,305,0.6368451772946155,0.20883007441996207,0.09221691230118197,0.04183204436013425,0.0,1079.0,0.0,37.75,0.0,0.0,0.9982118606567383,0.0009055584159796126,0.0001899097151181195,0.9997773170471191
5,50%,,305,305,0.6444768714431636,0.21506274624252153,0.09612213629067562,0.04433824602363928,0.0,1751.0,0.0,39.5,0.0,0.0,0.9986531734466553,0.0013468612887663767,0.00020628756465157494,0.9997937083244324
6,75%,,305,305,0.6521085655917116,0.221295418065081,0.10002736028016927,0.04684444768714432,0.0,2423.0,0.0,41.25,0.0,0.0,0.9990944862365723,0.0017881641615531407,0.00022266541418503039,0.9998100996017456
7,max,,305,305,0.6597402597402597,0.22752808988764045,0.10393258426966293,0.04935064935064935,0.0,3095.0,0.0,43.0,0.0,0.0,0.9995357990264893,0.002229467034339905,0.00023904326371848583,0.9998264908790588
0,count,0.0,306,306,,,,,,,,,,,,,,
1,mean,,306,306,,,,,,,,,,,,,,
2,std,,306,306,,,,,,,,,,,,,,
3,min,,306,306,,,,,,,,,,,,,,
4,25%,,306,306,,,,,,,,,,,,,,
5,50%,,306,306,,,,,,,,,,,,,,
6,75%,,306,306,,,,,,,,,,,,,,
7,max,,306,306,,,,,,,,,,,,,,
0,count,0.0,307,307,,,,,,,,,,,,,,
1,mean,,307,307,,,,,,,,,,,,,,
2,std,,307,307,,,,,,,,,,,,,,
3,min,,307,307,,,,,,,,,,,,,,
4,25%,,307,307,,,,,,,,,,,,,,
5,50%,,307,307,,,,,,,,,,,,,,
6,75%,,307,307,,,,,,,,,,,,,,
7,max,,307,307,,,,,,,,,,,,,,
0,count,0.0,308,308,,,,,,,,,,,,,,
1,mean,,308,308,,,,,,,,,,,,,,
2,std,,308,308,,,,,,,,,,,,,,
3,min,,308,308,,,,,,,,,,,,,,
4,25%,,308,308,,,,,,,,,,,,,,
5,50%,,308,308,,,,,,,,,,,,,,
6,75%,,308,308,,,,,,,,,,,,,,
7,max,,308,308,,,,,,,,,,,,,,
0,count,0.0,309,309,,,,,,,,,,,,,,
1,mean,,309,309,,,,,,,,,,,,,,
2,std,,309,309,,,,,,,,,,,,,,
3,min,,309,309,,,,,,,,,,,,,,
4,25%,,309,309,,,,,,,,,,,,,,
5,50%,,309,309,,,,,,,,,,,,,,
6,75%,,309,309,,,,,,,,,,,,,,
7,max,,309,309,,,,,,,,,,,,,,
0,count,0.0,310,310,,,,,,,,,,,,,,
1,mean,,310,310,,,,,,,,,,,,,,
2,std,,310,310,,,,,,,,,,,,,,
3,min,,310,310,,,,,,,,,,,,,,
4,25%,,310,310,,,,,,,,,,,,,,
5,50%,,310,310,,,,,,,,,,,,,,
6,75%,,310,310,,,,,,,,,,,,,,
7,max,,310,310,,,,,,,,,,,,,,
0,count,0.0,311,311,,,,,,,,,,,,,,
1,mean,,311,311,,,,,,,,,,,,,,
2,std,,311,311,,,,,,,,,,,,,,
3,min,,311,311,,,,,,,,,,,,,,
4,25%,,311,311,,,,,,,,,,,,,,
5,50%,,311,311,,,,,,,,,,,,,,
6,75%,,311,311,,,,,,,,,,,,,,
7,max,,311,311,,,,,,,,,,,,,,
0,count,0.0,312,312,,,,,,,,,,,,,,
1,mean,,312,312,,,,,,,,,,,,,,
2,std,,312,312,,,,,,,,,,,,,,
3,min,,312,312,,,,,,,,,,,,,,
4,25%,,312,312,,,,,,,,,,,,,,
5,50%,,312,312,,,,,,,,,,,,,,
6,75%,,312,312,,,,,,,,,,,,,,
7,max,,312,312,,,,,,,,,,,,,,
0,count,0.0,313,313,,,,,,,,,,,,,,
1,mean,,313,313,,,,,,,,,,,,,,
2,std,,313,313,,,,,,,,,,,,,,
3,min,,313,313,,,,,,,,,,,,,,
4,25%,,313,313,,,,,,,,,,,,,,
5,50%,,313,313,,,,,,,,,,,,,,
6,75%,,313,313,,,,,,,,,,,,,,
7,max,,313,313,,,,,,,,,,,,,,
0,count,0.0,314,314,,,,,,,,,,,,,,
1,mean,,314,314,,,,,,,,,,,,,,
2,std,,314,314,,,,,,,,,,,,,,
3,min,,314,314,,,,,,,,,,,,,,
4,25%,,314,314,,,,,,,,,,,,,,
5,50%,,314,314,,,,,,,,,,,,,,
6,75%,,314,314,,,,,,,,,,,,,,
7,max,,314,314,,,,,,,,,,,,,,
0,count,0.0,315,315,,,,,,,,,,,,,,
1,mean,,315,315,,,,,,,,,,,,,,
2,std,,315,315,,,,,,,,,,,,,,
3,min,,315,315,,,,,,,,,,,,,,
4,25%,,315,315,,,,,,,,,,,,,,
5,50%,,315,315,,,,,,,,,,,,,,
